从《唐律疏义》看唐代封爵贵族的法律特权	从《唐律疏义》看唐代封爵贵族的法律特权《唐律疏义》,封爵贵族,法律特权
肉鸡规模化养殖污染治理	淇县规模化养殖场污染现状、治理和防治对策
TEM型β内酰胺酶的研究进展	TEM型β内酰胺酶的研究进展T EM型β内酰胺酶,超广谱β内酰胺酶,耐酶抑制剂酶,T EM变异体
微胶囊制备 医药	微胶囊制备技术及其应用微胶囊,制备技术,应用,前景
城市大气污染现状	简析我国城市大气污染现状及防治对策城市大气污染,现状,防治对策
国外资源型城市转型	国外资源型城市经济转型中的政府作用及其启示国外,资源型城市,转型,政府作用
芜湖长江公铁大桥设置沉井基础施工关键技术研究	芜湖长江公铁大桥设置沉井基础施工关键技术研究设置,沉井基础,施工过程,水下封底,锚锭系统
初中生自我意识心理辅导活动课教学设计	我有一片叶-初中生心理辅导活动课教学设计初中生,自我意识,教学设计
炼油厂和城市污泥基活性炭的制备及性能研究	炼油厂和城市污泥基活性炭的制备及性能研究城市污泥,炼油厂污泥,污泥活性炭,制备,性能
不同钝化剂对铅锌矿区周边农田镉铅污染钝化修复研究	不同钝化剂对铅锌矿区周边农田镉铅污染钝化修复研究海泡石,石灰,腐植酸,生物炭,钙镁磷肥,重金属,钝化
长期定位有机物料还田对关中平原冬小麦-玉米轮作土	长期定位有机物料还田对关中平原夏玉米-冬小麦轮作土壤NO排放的影响NO排放,秸秆还田,牛粪,直接排放系数,长期定位施肥
艺术与研究 郑炜	现代环境艺术设计的问题及对策研究现代,环境艺术设计,发展趋势
形状记忆合金 建筑	浅谈形状记忆合金在建筑工程中的应用形状记忆合金,建筑工程,振动控制
会阴侧切伤口愈合不良	产科会阴侧切伤口愈合不良的原因分析及防治措施分析产科,会阴侧切伤口愈合不良,原因分析,防治措施
甘露醇合剂 放射性口腔炎	甘露醇合剂用于放射性口腔炎的临床观察甘露醇合剂,放射性口腔炎,临床疗效
钒钛矿渣生产掺合料	浅析钒钛科技含钛高炉渣综合利用含钛高炉渣,活性,矿渣微粉,水泥掺合料,矿渣砂石
大数据高校经济责任审计	基于高校经济责任审计的大数据审计模型构建高校,经济责任,大数据,审计
一种改进FCN的深度网络框架	改进HSR-FCN的服装图像识别分类算法研究服装图像,深度学习,图像分类,基于区域的全卷积网络(R-FCN),HyperNet,区域建议网络,空间转换网络
Gaussian软件	Gaussian 09和ChemOffice软件联用在化学教学中的应用Gaussian 09软件,ChemOffice软件,化学教学,手性分子,电子圆二色谱
新冠疫情疫情防控措施	新型冠状病毒肺炎疫情下高校研究生的防控及应对措施新型冠状病毒,感染疫情,高校研究生,防控措施,心理状况
能源矿物燃料排放量	基于系统动力学的固体矿物燃料二氧化碳排放置估算研究固体矿物燃料,系统动力学,STELLA模型,CO2排放
香菇多糖的干法制粒工艺优化及其对吸湿性和流动性的影响.	香菇多糖的干法制粒工艺优化及其对吸湿性和流动性的影响香菇多糖,干法制粒,辛烯基琥珀酸淀粉钠,吸湿性,流动性
饮用水认知度调查	饮水杯及包装饮用水认知和使用状况调查饮水杯;包装饮用水;安全性认知;消费情况;健康意识
oil storage	A Preliminary Simulation of CO2-EOR and Storage in One Heavy Oil Carbonate Oilfield Offshore Guangdong,China
汉语孤立词语音识别	汉语孤立词语音识别系统设计语音识别系统;隐马尔科夫模型;汉语孤立词;有效性
不同阻滞平面测试方法用于中上腹手术的比较研究	不同阻滞平面测试方法用于中上腹手术的比较研究针刺法,冷刺激法,麻醉阻滞平面
英雄-爱国主义教育	从少儿英雄形象看爱国主义情怀-再谈\红色经典\的教育价值红色经典,少儿英雄,爱国主义情怀,教育价值
刺绣在现代服装设计中的发展与应用	刺绣在现代服装设计中的发展与应用刺绣,民族语言,时尚,服饰,设计
无人机三维倾斜摄影技术	旋翼无人机倾斜摄影测量技术在三维实景建模中的应用旋翼无人机,倾斜摄影测量技术,三维实景建模
一种利用随机森林方法检测睡眠呼吸暂停的研究	一种利用随机森林方法检测睡眠呼吸暂停的研究机器学习,睡眠呼吸暂停,希尔伯特-黄变换,随机森林
我国土壤环境管理政策制度分析及发展趋势	我国土壤环境管理政策制度分析及发展趋势土壤,污染防治,政策制度,标准体系,环境管理
Ag掺杂TiO2光催化降解甲基橙	可见光下掺N附Ag纳米TiO2的光催化降解甲基橙N掺杂,Ag沉积,纳米TiO2,可见光,甲基橙,光催化降解
南油田沙河街组二段辫状河三角洲识别与新认识	锦州25-1南油田沙河街组二段辫状河三角洲的识别与新认识锦州25-1南油田,沙河街组,辫状河三角洲,扇三角洲,沉积特征
疏水纳米SiO2在泥页岩水基钻井液中的应用	疏水纳米SiO2在泥页岩水基钻井液中的应用泥页岩,水基钻井液,降滤失性,封堵性,抑制性
精神损害赔偿 侵权 外	著作权侵权精神损害赔偿制度研究著作权侵权;精神损害赔偿;立法问题;司法适用
基于期望理论的无偿献血客服平台志愿服务激励机制	基于期望理论的无偿献血客服平台志愿服务激励机制期望理论,无偿献血客服平台,志愿服务,激励机制
生产方式and盆底肌	产钳助产和自然分娩经康复治疗后盆底肌恢复的效果观察产钳助产,自然分娩,盆底肌,压力性尿失禁,性生活质量
气流控制 实验室	实验室通风气流控制系统及节能技术探讨实验室通风,实验室气流控制,变风量,节能控制
中国卫生信息管理杂志	《中国卫生信息管理杂志》社推进信息新技术应用发展赋能卫生健康信息化建设学术研讨会在京召开
公路交通工程试验检测问题的分析	公路交通工程试验检测问题的分析公路交通工程,试验检测,问题
高速印制电路板可靠性测试综述	高速印制电路板可靠性测试综述高速印制电路板,可靠性,服务器,信号完整性
格列美脲片制备工艺	制备工艺对格列美脲片溶出行为的影响格列美脲片,制备工艺,溶出度
化妆品 申报资料	部分化妆品生产企业和在华申报责任单位提交虚假申报资料被警告责任单位,生产企业,化妆品,虚假,行政许可法,申报资料,有限公司
中国文化贸易逆差现象及可借鉴对策分析	中国文化贸易逆差现象及可借鉴对策分析文化贸易;逆差现象;政策调整;民族凝聚力
射流 振荡   减阻	基于剪切涡流运动的自激振荡脉冲射流减阻特性剪切涡流,自激振荡,脉冲射流,壁面切应力,法向速度梯度
Monte Carlo模拟离子注入	模拟计算低能重离子注入植物种子的深度离子注入,蒙特卡罗模拟,种子,深度-浓度分布
城市农村老年 抑郁	我国老年人健康预期寿命探究——基于抑郁维度的测算健康预期寿命,无抑郁预期寿命,老年人口,多状态生命表法
新课改下体育教师教学思想的转变	新课改下体育教师教学思想的转变体育教师,学生学习,教学思想,创新能力,评价方式,转变,新课改,评价观,素质教育,评价学生
厨余垃圾进入生物水解反应器	厨余垃圾资源化处理工程实例分析厨余垃圾,破袋滚筒筛,生物水解,厌氧发酵
早期护理干预在小儿病毒性脑炎治疗中的效果研究	运动疗法早期干预对小儿病毒性脑炎运动障碍的效果研究运动疗法,干预,小儿病毒性脑炎运动障碍,临床效果
新型冠状病毒疫苗 实验	新型冠状病毒肺炎动物模型的研究进展新型冠状病毒肺炎,实验动物,动物模型
SIRT1-FOXO	miR-34a通过调控Sirt1/FoxO1通路影响血管内皮细胞凋亡microRNA-34a,人主动脉内皮细胞,细胞凋亡,Sirt1,动脉粥样硬化
机械螺杆设计参数	一种双螺杆机械增压器的型线设计双螺杆机械增压器,工作原理,型线设计,参数方程
新型冠状病毒期间《高分子物理实验》教学改革探究	新型冠状病毒期间《高分子物理实验》教学改革探究高分子物理实验,新型冠状病毒,应用型人才
MySQL数据库服务	基于MySQL的数据库服务器性能测试MySQL,数据库服务器,查询速度,插入速度,连接线程数
45号钢热处理工艺	45号钢热处理工艺常见问题及其预防措施45号钢,热处理,硬度,淬火,裂纹
人口流动影响参保率因素	少数民族流动人口医疗保险参保现状及影响因素分析流动人口,少数民族,医疗保险,影响因素
壳聚糖 / 银复合纳米凝胶的制备 及其抗肿瘤药物递送研究	壳聚糖/银复合纳米凝胶的制备及其抗肿瘤药物递送研究纳米交联剂,纳米银,双乳法,纳米微球,药物递送
新型冠状病毒肺炎 CT影像学	新型冠状病毒肺炎临床表现与影像学特征分析新型冠状病毒肺炎,计算机体层成像,影像学表现
癌症5年生存率计算方法	2003～2015年浙江省海宁市居民癌症发病率及生存率分析恶性肿瘤,发病率,流行特征,生存率,浙江
stewart力传感器各向同性	基于各向同性的Stewart型六维力传感器的优化设计Stewart,力传感器,各向同性,优化,有限元分析
丛枝菌根对植物（柑橘）的重要作用	丛枝菌根真菌对柑橘锌吸收的生态效应及其作用机制丛枝菌根真菌,柑橘,缺锌胁迫
绝经后骨质疏松疼痛	鲑鱼降钙素注射液对合并骨关节炎绝经后骨质疏松症患者疼痛、骨密度及膝关节功能的影响分析绝经后骨质疏松,骨关节炎,鲑鱼降钙素注射液,关节功能,骨密度
个体歧视知觉问卷	留守儿童个体歧视知觉在被忽视和自尊间的中介作用留守儿童,儿童被忽视,个体歧视知觉,自尊
右美托咪定对老年脓毒症大鼠Shh信号通路及认知功能的影响研究	右美托咪定对老年脓毒症大鼠Shh信号通路及认知功能的影响研究脓毒症,大鼠,右美托咪定,认知障碍,Shh信号通路
“简并氢可能存在并具有超导电性”及室温超导体的实验研究	\简并氢可能存在并具有超导电性\及室温超导体的实验研究简并相,简并相超导理论,超导微观机制,自由电子气,简并正离子晶格,简并氢,室温超导体
难治性弥漫性大B细胞淋巴瘤	复发/难治性弥漫性大B细胞淋巴瘤靶向药物及免疫治疗研究进展弥漫性大B细胞淋巴瘤,复发/难治性,靶向药物,免疫治疗
疫情党决策力领导力	国际社会眼中的中国共产党抗\疫\领导力新冠肺炎疫情,中国共产党,领导力
延安时期党的马克思主义教育	领袖魅力的当代启示:延安时期毛泽东用马克思主义理论教育领导全党的实效性探究延安时期,毛泽东,马克思主义理论,教育领导
术后神经认知障碍PND	海马F-肌动蛋白聚合在老年小鼠围术期神经认知障碍中的作用围术期神经认知障碍,老龄小鼠,海马,F-肌动蛋白聚合
有关生殖性克隆与治疗性 克隆伦理的研究进展	有关生殖性克隆与治疗性克隆伦理的研究进展生命伦理,克隆,生殖性,治疗性,应用
普通高中劳动教育现状及课程建设有效途径 蓝宇	普通高中劳动教育现状及课程建设有效途径劳动教育;课程建设;实施途径
借用自然力量应对极端风暴的韧性设计——珠海香炉湾沙滩景观带	借用自然力量应对极端风暴的韧性设计——珠海香炉湾沙滩景观带风景园林,气候变化,台风,基于自然的解决方案,沙滩修复,可持续发展
